image_id,previous_review_status,final_review_status,preview_confirmed,manually_verified_alignment,alignment_note,resolution,resolution_source,notes
1,preview confirmation required before labels are final,resolved,true,true,non-identical frame; visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
2,preview confirmation required before labels are final,resolved,true,true,non-identical frame; visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
3,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
4,pending_preview_confirmation,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
5,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
6,pending_preview_confirmation,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
7,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
8,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
9,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
10,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
11,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
12,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
13,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
14,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
15,preview confirmation required before labels are final,resolved,true,true,visually verified marker-to-defect correspondence,final_confirmed,user_manual_confirmation,human preview confirmation applied to preliminary labels
