image_id,reason,priority,recommended_action,manual_review_required,source_image,preview_path,notes
1,non-identical frame; manually verified marker-to-defect correspondence; marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,1.jpg,previews/1_ground_truth_preview.jpg,preview confirmation required before labels are final
2,non-identical frame; manually verified marker-to-defect correspondence; marker-analysis high spot-count outlier; marker radius exceeds preview clamp; confirm circle labels; 31+ dirty spots; verify FAIL-grade count before finalizing,high,confirm preview circles before finalizing,true,2.jpg,previews/2_ground_truth_preview.jpg,preview confirmation required before labels are final
3,marker radius exceeds preview clamp; confirm circle labels; 31+ dirty spots; verify FAIL-grade count before finalizing,high,confirm preview circles before finalizing,true,3.jpg,previews/3_ground_truth_preview.jpg,preview confirmation required before labels are final
5,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,5.jpg,previews/5_ground_truth_preview.jpg,preview confirmation required before labels are final
7,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,7.jpg,previews/7_ground_truth_preview.jpg,preview confirmation required before labels are final
8,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,8.jpg,previews/8_ground_truth_preview.jpg,preview confirmation required before labels are final
9,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,9.jpg,previews/9_ground_truth_preview.jpg,preview confirmation required before labels are final
10,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,10.jpg,previews/10_ground_truth_preview.jpg,preview confirmation required before labels are final
11,marker radius exceeds preview clamp; confirm circle labels; 31+ dirty spots; verify FAIL-grade count before finalizing,high,confirm preview circles before finalizing,true,11.jpg,previews/11_ground_truth_preview.jpg,preview confirmation required before labels are final
12,marker radius exceeds preview clamp; confirm circle labels; 31+ dirty spots; verify FAIL-grade count before finalizing,high,confirm preview circles before finalizing,true,12.jpg,previews/12_ground_truth_preview.jpg,preview confirmation required before labels are final
13,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,13.jpg,previews/13_ground_truth_preview.jpg,preview confirmation required before labels are final
14,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,14.jpg,previews/14_ground_truth_preview.jpg,preview confirmation required before labels are final
15,marker radius exceeds preview clamp; confirm circle labels,medium,confirm preview circles before finalizing,true,15.jpg,previews/15_ground_truth_preview.jpg,preview confirmation required before labels are final
